Dahili Uydu Alıcı,Ekran Boyutu,Enerji Sınıfı,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,Görüntüleme Teknolojisi,HDR,Kurulum Gerekli mi?,Model Yılı,Renk,Smart TV,Wi-Fi,Çözünürlük (Piksel),url,price
Var,"32"" / 81 Ekran",A,2 Yıl,Resmi Distribütör Garantili,HD Ready,LED,Yok,Hayır,2020,Siyah,Var,Var,1366 x 768,https://www.trendyol.com/onvo/ov32150-32-81-ekran-uydu-alicili-hd-ready-smart-led-tv-p-48244830,"2.452,80 TL"
Var,"50"" / 127 Ekran",A+,3 Yıl,Vestel Garantili,4K Ultra HD,LED,Var,Evet,2020,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/regal/50r754ua9-50-126-ekran-uydu-alicili-4k-ultra-hd-android-smart-led-tv-p-52652659,5.568 TL
Var,"43"" / 109 Ekran",A,2 Yıl,Resmi Distribütör Garantili,Full HD,LED,Yok,Evet,2020,Siyah,Var,Var,1920 x 1080,https://www.trendyol.com/onvo/ov43250-43-109-ekran-uydu-alicili-full-hd-smart-led-tv-p-51814939,"3.567,84 TL"
Var,"42"" / 106 Ekran",,2 Yıl,Resmi Distribütör Garantili,Full HD,LED,Var,Hayır,2020,Siyah,Var,Var,1920 x 1080,https://www.trendyol.com/onvo/ov42250-42-106-ekran-uydu-alicili-full-hd-smart-led-tv-p-87601557,"3.579,84 TL"
Var,"43"" / 109 Ekran",A+,2 Yıl,Vestel Garantili,Full HD,LED,Yok,Evet,2020,Siyah,Var,Var,1920 x 1080,https://www.trendyol.com/vestel/43f9510-43-108-ekran-uydu-alicili-full-hd-smart-led-tv-p-69125050,4.848 TL
Var,"55"" / 139 Ekran",A+,3 Yıl,Vestel Garantili,4K Ultra HD,DLED,Var,Evet,2020,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/vestel/55ua9600-55-139-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-51505871,7.349 TL
Var,"55"" / 139 Ekran",G,2 Yıl,Samsung TR Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/samsung/55au7000-55-139-ekran-uydu-alicili-crystal-4k-ultra-hd-smart-led-tv-p-132828728,"9.618,24 TL"
Var,"32"" / 81 Ekran",F,2 Yıl,Resmi Distribütör Garantili,HD Ready,LED,Yok,Hayır,2021,Siyah,Yok,Yok,1366 x 768,https://www.trendyol.com/onvo/ov32100-32-82-ekran-uydu-alicili-hd-ready-led-tv-p-47072066,"1.999,20 TL"
Var,"43"" / 109 Ekran",,3 Yıl,Resmi Distribütör Garantili,Full HD,LED,Yok,Evet,2020,Siyah,Yok,Yok,1920 x 1080,https://www.trendyol.com/regal/43r604f-43-109-ekran-uydu-alicili-full-hd-led-tv-p-70661601,"3.831,50 TL"
Var,"43"" / 109 Ekran",A+,3 Yıl,Vestel Garantili,4K Ultra HD,DLED,Var,Evet,2020,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/vestel/43ua9600-43-108-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-51422337,"5.610,24 TL"
